y,y_over_L,ux,ux_over_lid_velocity
-0.5,0,0,0
0,0.00390625,-0.0006097440917706867,-0.006097440917706867
1,0.01171875,-0.001808184249196877,-0.01808184249196877
2,0.01953125,-0.002968082413379848,-0.02968082413379848
3,0.02734375,-0.004093347453406559,-0.04093347453406558
4,0.03515625,-0.005191013862011207,-0.05191013862011207
5,0.04296875,-0.006265367843656099,-0.06265367843656099
6,0.05078125,-0.007322013328224949,-0.07322013328224949
7,0.05859375,-0.008365165644589754,-0.08365165644589753
8,0.06640625,-0.009399456055971159,-0.09399456055971159
9,0.07421875,-0.01042864323332462,-0.1042864323332462
10,0.08203125,-0.01145637230708635,-0.1145637230708635
11,0.08984375,-0.01248552482714477,-0.1248552482714477
12,0.09765625,-0.01351850376788486,-0.1351850376788486
13,0.10546875,-0.01455688436215037,-0.1455688436215037
14,0.11328125,-0.01560150111318625,-0.1560150111318624
15,0.12109375,-0.01665225968278661,-0.1665225968278661
16,0.12890625,-0.01770816275399554,-0.1770816275399553
17,0.13671875,-0.01876722737798866,-0.1876722737798865
18,0.14453125,-0.01982651667143988,-0.1982651667143988
19,0.15234375,-0.020882138718833,-0.20882138718833
20,0.16015625,-0.02192931299814935,-0.2192931299814935
21,0.16796875,-0.02296243585966664,-0.2296243585966664
22,0.17578125,-0.02397518880801389,-0.2397518880801389
23,0.18359375,-0.02496065637654284,-0.2496065637654284
24,0.19140625,-0.02591147128191593,-0.2591147128191593
25,0.19921875,-0.02681996946803292,-0.2681996946803292
26,0.20703125,-0.02767836067951099,-0.2767836067951099
27,0.21484375,-0.02847890412853875,-0.2847890412853875
28,0.22265625,-0.02921408911462709,-0.2921408911462709
29,0.23046875,-0.02987681298107851,-0.2987681298107851
30,0.23828125,-0.03046055333520436,-0.3046055333520435
31,0.24609375,-0.03095952802946323,-0.3095952802946323
32,0.25390625,-0.03136883857780842,-0.3136883857780842
33,0.26171875,-0.03168459142885923,-0.3168459142885923
34,0.26953125,-0.03190399301430535,-0.3190399301430535
35,0.27734375,-0.0320254146240757,-0.3202541462407569
36,0.28515625,-0.03204842469326694,-0.3204842469326694
37,0.29296875,-0.03197378709200285,-0.3197378709200285
38,0.30078125,-0.03180342566653867,-0.3180342566653867
39,0.30859375,-0.03154035663467408,-0.3154035663467407
40,0.31640625,-0.03118859195234883,-0.3118859195234883
41,0.32421875,-0.03075301795058602,-0.3075301795058602
42,0.33203125,-0.03023925456410152,-0.3023925456410152
43,0.33984375,-0.029653501097748,-0.2965350109774799
44,0.34765625,-0.02900237479038976,-0.2900237479038976
45,0.35546875,-0.02829274835835435,-0.2829274835835434
46,0.36328125,-0.02753159231449188,-0.2753159231449188
47,0.37109375,-0.02672582718055646,-0.2672582718055646
48,0.37890625,-0.0258821898330568,-0.258821898330568
49,0.38671875,-0.02500711720666162,-0.2500711720666162
50,0.39453125,-0.02410664951327522,-0.2410664951327522
51,0.40234375,-0.02318635408313952,-0.2318635408313952
52,0.41015625,-0.02225126996210514,-0.2225126996210514
53,0.41796875,-0.02130587254924467,-0.2130587254924467
54,0.42578125,-0.02035405686395984,-0.2035405686395984
55,0.43359375,-0.01939913750533095,-0.1939913750533095
56,0.44140625,-0.01844386301126848,-0.1844386301126848
57,0.44921875,-0.01749044213077766,-0.1749044213077766
58,0.45703125,-0.01654057947193378,-0.1654057947193378
59,0.46484375,-0.01559551805751836,-0.1559551805751836
60,0.47265625,-0.01465608648418224,-0.1465608648418224
61,0.48046875,-0.01372274861325018,-0.1372274861325018
62,0.48828125,-0.01279565399740783,-0.1279565399740783
63,0.49609375,-0.01187468754568816,-0.1187468754568816
64,0.50390625,-0.01095951723111688,-0.1095951723111688
65,0.51171875,-0.01004963893636756,-0.1004963893636756
66,0.51953125,-0.009144417802104579,-0.09144417802104579
67,0.52734375,-0.00824312568314137,-0.0824312568314137
68,0.53515625,-0.007344974524620868,-0.07344974524620868
69,0.54296875,-0.006449145642235677,-0.06449145642235676
70,0.55078125,-0.005554815027690299,-0.05554815027690299
71,0.55859375,-0.004661174904880524,-0.04661174904880523
72,0.56640625,-0.003767451835697792,-0.03767451835697792
73,0.57421875,-0.002872921720900052,-0.02872921720900052
74,0.58203125,-0.001976922065554286,-0.01976922065554286
75,0.58984375,-0.00107886188288583,-0.0107886188288583
76,0.59765625,-0.0001782295980780688,-0.001782295980780688
77,0.60546875,0.0007254007094457432,0.007254007094457432
78,0.61328125,0.001632364418283809,0.01632364418283809
79,0.62109375,0.002542902564509663,0.02542902564509663
80,0.62890625,0.003457158904063917,0.03457158904063917
81,0.63671875,0.004375177654786546,0.04375177654786546
82,0.64453125,0.005296901779215127,0.05296901779215127
83,0.65234375,0.006222171713075736,0.06222171713075736
84,0.66015625,0.007150724481951124,0.07150724481951123
85,0.66796875,0.00808219317968417,0.08082193179684169
86,0.67578125,0.009016106821152786,0.09016106821152785
87,0.68359375,0.009951890605408393,0.09951890605408392
88,0.69140625,0.01088886664833255,0.1088886664833255
89,0.69921875,0.01182625526187118,0.1182625526187118
90,0.70703125,0.01276317689781284,0.1276317689781283
91,0.71484375,0.01369865487421148,0.1369865487421148
92,0.72265625,0.01463161906998177,0.1463161906998176
93,0.73046875,0.01556091080889322,0.1556091080889322
94,0.73828125,0.01648528931486528,0.1648528931486528
95,0.74609375,0.01740344020004662,0.1740344020004662
96,0.75390625,0.01831398688057958,0.1831398688057958
97,0.76171875,0.01921550607792516,0.1921550607792516
98,0.76953125,0.02010654954772469,0.2010654954772469
99,0.77734375,0.02098567483028667,0.2098567483028667
100,0.78515625,0.02185149003582022,0.2185149003582022
101,0.79296875,0.02270271895773973,0.2270271895773973
102,0.80078125,0.02353829729111834,0.2353829729111834
103,0.80859375,0.02435751271932638,0.2435751271932638
104,0.81640625,0.02516020979143362,0.2516020979143361
105,0.82421875,0.02594708182222864,0.2594708182222864
106,0.83203125,0.02672008513777115,0.2672008513777115
107,0.83984375,0.02748300624405243,0.2748300624405243
108,0.84765625,0.02824223048993461,0.2824223048993461
109,0.85546875,0.02900773568613157,0.2900773568613157
110,0.86328125,0.02979435613451607,0.2979435613451607
111,0.87109375,0.03062328723653026,0.3062328723653026
112,0.87890625,0.03152383195801056,0.3152383195801056
113,0.88671875,0.03253521342883571,0.3253521342883571
114,0.89453125,0.03370835357891609,0.3370835357891609
115,0.90234375,0.03510715885706427,0.3510715885706426
116,0.91015625,0.03680909710601546,0.3680909710601546
117,0.91796875,0.03890418050526116,0.3890418050526116
118,0.92578125,0.04149220231564255,0.4149220231564255
119,0.93359375,0.044676844559702,0.44676844559702
120,0.94140625,0.04855722151671105,0.4855722151671105
121,0.94921875,0.05321501537591723,0.5321501537591723
122,0.95703125,0.05870001202881914,0.5870001202881914
123,0.96484375,0.06501159347764393,0.6501159347764393
124,0.97265625,0.07208407117482056,0.7208407117482055
125,0.98046875,0.07977128391746488,0.7977128391746487
126,0.98828125,0.08784815197477416,0.8784815197477416
127,0.99609375,0.09601651922152332,0.9601651922152332
127.5,1,0.1,1
