repeat,ranks,nx,ny,steps,warmup,seconds,mlups
1,1,256,256,20000,100,62.481534908,20.977717687792882
1,2,256,256,20000,100,31.959869257000001,41.011431850989808
1,4,256,256,20000,100,15.995171986999999,81.944726887918534
1,8,256,256,20000,100,8.096195582,161.89332220605934
1,16,256,256,20000,100,4.0966330450000008,319.95055100181662
1,32,256,256,20000,100,2.1107737819999999,620.96659110388748
2,32,256,256,20000,100,2.1274095100000001,616.11081168853093
2,16,256,256,20000,100,4.1035367999999997,319.41226894809375
2,8,256,256,20000,100,8.0740975650000006,162.33640842807921
2,4,256,256,20000,100,16.015657438000002,81.839912290461655
2,2,256,256,20000,100,31.419596828,41.716639687493831
2,1,256,256,20000,100,62.460686746,20.984719641814358
3,1,256,256,20000,100,62.475006180000001,20.979909889462295
3,2,256,256,20000,100,31.943219735000003,41.032807928370843
3,4,256,256,20000,100,16.023374448000002,81.800497407935254
3,8,256,256,20000,100,8.0950700510000004,161.91583170278855
3,16,256,256,20000,100,4.0930204589999999,320.23294609190225
3,32,256,256,20000,100,2.1245361750000002,616.94407251032089
