repeat,ranks,nx,ny,steps,warmup,seconds,mlups
1,1,512,512,3000,100,38.139665552000004,20.619792770017103
1,2,512,512,3000,100,19.667158846,39.9870670775585
1,4,512,512,3000,100,10.029744182,78.409975940501013
1,8,512,512,3000,100,4.9726335129999999,158.15201300156622
1,16,512,512,3000,100,2.4339223539999999,323.11301907702517
1,32,512,512,3000,100,1.2406619830000001,633.88095289125977
2,32,512,512,3000,100,1.2360572540000001,636.24237263689076
2,16,512,512,3000,100,2.4298409240000001,323.65575549916122
2,8,512,512,3000,100,4.9779769410000005,157.98225048467535
2,4,512,512,3000,100,10.101283822000001,77.854658265041266
2,2,512,512,3000,100,19.720225137,39.879463572880809
2,1,512,512,3000,100,38.034591405,20.676756892848235
3,1,512,512,3000,100,38.069793557999994,20.657637630786127
3,2,512,512,3000,100,19.638448202999999,40.045526605297844
3,4,512,512,3000,100,10.082916897,77.996477411609874
3,8,512,512,3000,100,4.9599652159999996,158.55595064721518
3,16,512,512,3000,100,2.4326306469999999,323.28458945045924
3,32,512,512,3000,100,1.2393310799999999,634.56167015516155
